Product Name,Parents Release_Final,Design Element_Rel Num,Release Type,Milestone,Roadmap_MonthYear,YearMonth_number,Date_Roadmap,Roadmap_Year,ReleaseType_Milestone,Release Type_Short,Status
Product A,Product A  22 [CNF],22,Main Release,C9,Feb-2024,22024,28-02-2024 00:00,2024,MR C9,MR,Forecast
Product A,Product A  22 [CNF],22.8,Feature Package,C3,Jul-2022,72022,26-07-2022 00:00,2022,FP C3,FP,Forecast
Product A,Product A  22 [CNF],22,Main Release,C10,Aug-2024,82024,31-08-2024 00:00,2024,MR C10,MR,Forecast
Product A,Product A  22 [CNF],22.8,Feature Package,C5,Sep-2022,92022,26-09-2022 00:00,2022,FP C5,FP,Approved
Product A,Product A  22 [CNF],22,Main Release,C7,Nov-2022,112022,30-11-2022 00:00,2022,MR C7,MR,Forecast
Product A,Product A  22 [CNF],22,Main Release,C8,Nov-2023,112023,30-11-2023 00:00,2023,MR C8,MR,Forecast
Product A,Product A  23 [CNF],23.2,Feature Package,C3,Jan-2023,12023,19-01-2023 00:00,2023,FP C3,FP,Forecast
Product A,Product A  23 [CNF],23.2,Feature Package,C5,Mar-2023,32023,06-03-2023 00:00,2023,FP C5,FP,Approved
Product A,Product A  23 [CNF],23,Main Release,C1,Sep-2022,92022,29-09-2022 00:00,2022,MR C1,MR,Approved
Product A,Product A  23 [CNF],23,Main Release,C3,Oct-2022,102022,26-10-2022 00:00,2022,MR C3,MR,Forecast
Product A,Product A  23 [CNF],23,Main Release,C5,Dec-2022,122022,15-12-2022 00:00,2022,MR C5,MR,Forecast
Product A,Product A 21,21.8 SP2203,Service Package (Roadmapped),C3,Feb-2022,22022,24-02-2022 00:00,2022,SP C3,SP,Forecast
Product A,Product A 21,21.8 SP2203,Service Package (Roadmapped),C5,Mar-2022,32022,31-03-2022 00:00,2022,SP C5,SP,Forecast
Product A,Product A 21,21.8 SP2206,Service Package (Roadmapped),C3,May-2022,52022,26-05-2022 00:00,2022,SP C3,SP,Forecast
Product A,Product A 21,21.8 SP2206,Service Package (Roadmapped),C5,Jun-2022,62022,30-06-2022 00:00,2022,SP C5,SP,Forecast
Product A,Product A 21,21.8 SP2209,Service Package (Roadmapped),C3,Sep-2022,92022,16-09-2022 00:00,2022,SP C3,SP,Approved
Product A,Product A 21,21.8 SP2209,Service Package (Roadmapped),C5,Sep-2022,92022,28-09-2022 00:00,2022,SP C5,SP,Forecast
